Review,Classification
 ان شاء خير ,positive
 تطبيق خايب ,negative
 برنامج ممتاز ,positive
 مره مره رائع وسهل ,positive
 برنامج رااائع👍🏻👍🏻👍🏻 ,positive
 جيد جدا ممتاز ,positive
 تطبيق رائع جدا ,positive
 ممتاز و رائع.. ,positive
 برنامج رائع ,positive
 ممتاز ومهم جدآ ,positive
ماشي الحال,neutral
 ممتاز ربنا يخليكم لمصر ,positive
 برنامج مقرف,negative
 امتياز مع مرتبه الشرف ,positive
 برنامح جدا رائع ,positive
 ممتاز سبعه نجوم ,positive
مش وحش,neutral
خدمه ذي اي خدمه,neutral
انا مش عارف استخدم الموقع .. محتاج مساعده,neutral
ارجو احد يتواصل معي,neutral
خدمه غاليه اوي,negative
خدمه مرضيه,neutral
ماشي الحال,neutral
 ممتاز جدا جدا بس ليش مايفتح ,positive
 😍😍😍 ,positive
الموقع مش سهل الاستخدام,neutral
 مفيش نظام خالص,negative
 ممتازه جدا خاصه في ازمه كورونا ,positive
في مشكله في الموقع مش عارف اشوف بياناتي,neutral
في مشاكل كتير في الموقع اتمني تصلحوها,neutral
 الخدمه هناك معقوله 👌 ,neutral
 برنامج رائع وجميل جدا ,positive
 الدمغه قليله اوي ومش موحوده ولا في اي فرع ,negative
بتغلوا ليه سعر ورق البطاقه او المترو حسبي الله,negative
 الختم الشخصي غالي اوي ومش موجود بسهوله  ,negative
الاستماره غاليه اوي حسوا بينا شويه,negative
 مره حلو ,positive
مفيش مراعاه خالص لظروفنا ولا مواعيدنا ولا في اي احترام ,negative
التذكره بقت غاليه جدا ,negative
اقدر الاقي فين الورق المطلوب علشان البطاقه حد يفيدنا,neutral
 😉  جامد,positive
حاجه تقرف ربنا ياخدكم,negative
هو ايه الكسل الي انتو فيه دا,negative
 برنامج ممتاز ,positive
مفيش حاجه مميزه في الموقع دا,negative
 اخدت لقاح covid 19 ,neutral
 ممتازه وانطباع رائع ,positive
الموقع يعني ماشي حاله,neutral
 جهد جبار ,positive
 برنامج جميل جدا جدا جدا ,positive
 سهل مريح و مفيد ,positive
 ممتاز جدا جدا جدا جدا جدا جدا جدا ,positive
 رووووووعه ,negative
 برنامج رائع جدا ,positive
ناس متخلفه,negative
 👍🌷 خدمه رائعه,positive
 مفيده وجيده ,positive
 ممتاز جدا جدا ,positive
 تطبيق رائع جدا ,positive
الطوابير كبيره اوي وطويله جدا,negative
 المصحله مكانها بعيد جدا يفضل تبقي في وسط البلد ,negative
 سريع واختصار ,positive
حسبي الله ونعم الوكيل,negative
خدمه فوق الروعه,positive
 وربي مره جيد ,positive
الموضوع لا يطاق,negative
مفيش حاجه مميزه,neutral
 جميل جدا جدا جدا جدا جدا ,positive
 برنامج ممتاز ,positive
 عمل رائع ,positive
 جدا جميل ,positive
 ✅👍 تمام,positive
 فاشل مره ما اعجبني ,negative
مش ممتاز ,negative
ما عجبني,negative
 مايشتغل زين ,negative
مش بيشتغل خالص,negative
 👎 ,negative
 زفت ف زفت ,negative
نص نص,neutral
 😞😞 ,negative
ناس جهله ومتخلفين ,negative
اعجبني,positive
 تطبيق وهمي ساكت بلآ فايده ■■■■■■■■■■■■■■《《《《《《《《《《《♤♤♤♤♤♤♤♤♤♤♤♡♡♡♡♡♡♡♡♡♡♡♤♤♤♤♤♤♤♤♤♤♤♤♤♤♤♤♤♤♤♤♤♤♤♤♤♤♤♤♤♤♤♤■ ا ,negative
 سيئ جدا ,negative
 ماشي ,neutral
 ما اقدر اوصف ,negative
حلو بس محتاج حبه حبشتكنات,neutral
 رائع جدا وممتاز ,positive
 مش سي ,neutral
ايه الي هيفرق يعني لو قيمت,neutral
المواعيد مش وحشه بس يفضل تزيد شويه عن الساعه2 ,neutral
 ما يستاهل ولا نجمه ,negative
 تجربه موفقه ,positive
 ما اشتغل عندي جهازي هواوي ميت 10 برو ,negative
 اخيرا 😑 ,positive
هيموتني,negative
 جميل يستاهل نجمه فادني صراحه ,positive
 انا اشوف انه سلبيه انك لا تستطيع تصوير اشاشه ,negative
مش بيدخلني,negative
 زفت يفضل التحسين,negative
 موقع نيله,negative
 دائما غير مطبق برنامج فاشل ,negative
 يعلق سي ,negative
 👏👏 ,positive
 🤮 ,negative
 لاتعرف ماهو هدفه ,negative
معفننن😠🙄😒🤮🤢🤮🤢🤮🤢 ,negative
 مرررره حلو ,positive
 مايشتغل خربان ,negative
 لا يعمل جوالي huawei Mate 10 pro ,neutral
 ممتاز انصح بستخدامه ,positive
 دمار ,negative
 مايسجل اصلا ,negative
 فاشششششل ,negative
 ممتاز جدا انا جربته واستفدت منه ,positive
 مش واقعي,negative
 دايما بيعلق,negative
 لاباس به ,negative
 احسه بدون فايده🦕. ,negative
 اختيار ممتاز ,positive
 معلق باستمرار  ,negative
الموقع مش سهل الاستخدام,neutral
انا اموت ولا اني اروح تاني هناك,negative
دي ناس مريضه,negative
الطوابير طوووووويله اوي,negative
انا مش طايقه الخدمه هناك,negative
موظفين مبيفهموش ,negative
الناس غبيه جدا هناك,negative
 سهل جدا جدا جدا ,positive
 برنامج جميل جدا جدا ,positive
الناس الي شغاله هناك مشورتني,negative
قابلني حجات كتير في التطبيق مش عارف اتعامل معاها,neutral
 برنامج جبار جدا ,positive
 ممتاز جدا وسهل ,positive
تطبيق جيد,neutral
 المكان ضيق للغايه,negative
 سهل ورهيب ,negative
 ماشاءالله متفاهمين وسرعيين استجابه ,positive
 تطبيق رائع جدا ,positive
  محدش بيحترم الطابور ,negative
 ممتاز وسهل ,positive
رحت خلصت ورقي بسرعه جداااااااا,positive
انا سعيد من الخدمه,positive
 ممتاز جدا وسهل استخدامه ,positive
كويس,neutral
 زفت ,negative
 رائع جدا جدا جدا ,positive
 معقول,neutral
خدمه  جميله ,positive
 نيله اوي ووحش جدا,negative
 صعب اوي ,negative
 متعبه ,negative
 رائعه ,positive
 رائعه ,positive
 تجربه رائعه جدا ,positive
 شوي معقد ,negative
 يستاهل خمسه نجوم ,positive
 رائع ومتطور ,positive
 عجائب وغرائب الوزاره,negative
النظام كل شويه يقع!!!!!!!,negative
مش عارف استخدم التطبيق,neutral
 الخدمه عاديه,neutral
 الناس معاملتها لطيفه,positive
 مش حلو ومش وحش..  متوسط,neutral
 فاشل جدا جدا ,negative
 افشل من كده مفييييش ❗❗ ,negative
 صفر ,neutral
 تجربه مميزه ومفيده ,positive
الناس متباطئه اووووي بجد ,negative
 زبااااااااااااااااااااال ,negative
 قويه قويه جداً  الفكره دي ,positive
خدمه عظيمه,positive
 ماشي الحال,neutral
 فكره ممتازه جدا ,positive
 برنامج رائع ,positive
خدمه رائعه,positive
 الناس بطيئه,negative
 تحميلك للتطبيق حتى لو بالخطأ يدخلك في عزل لمدة ١٤ يوم بشكل تلقائي ويعلن اشتباه إصابتك لكوفيد ١٩ وحتى لو حذفته يبقى في كل البرامج مثل صحتي وتوكلنا اشتباه باصابتك . ,neutral
 لا يعمل ولا يستجيب في مرحلة التسجيل لايتم ارسال الكود ,neutral
 للأسف تطبيق سيئ جداً بقالي يومين بحاول اسجل ولا يرسل رمز التحقق؟؟ ,negative
 ما قدرت اسجل في التطبيق ، اوصل ل آخر خطوه وهي كود التحقق. كود التحقق ما يوصل على الجوال ,neutral
 نزلت البرنامج اكثر من مره وسجلت بياناتي كلها لاني لسه راجع من السفر امس ومن صلاه الفجر حتى الآن بنتظار رمز التحقق واتواصلت مع 937 وحكيت المشكله قالو هيبعتو اميل للدعم الفني عشان يحل المشكله وبردو متحلتش وانا ماضي تعهد بتنزيل البرنامج والتسجيل فيه ,neutral
 التطبيق لا يعمل رمز التحقق لا يصل علي الجوال وطلبتة اكثر من مرة ,neutral
 البرنامج لايرسل لي رمز التحقق على الجوال هل هناك بديل للتسجيل او حل للمشكلة ارجو الافادة وشكرا ,neutral
 لا يعمل ,negative
 لا يعمل أريد التسجيل ولكن لا يرسل الرقم السري على الجوال ومدري هو متعطل ولا وش السالفة؟؟!!!!! مرة يقول حدث خطأ ما ومرات كثيرة لا يقوم بإرسال الرقم السري ,negative
 تطبيق فاشل انا من امس منتظر رسالة للدخول فى التطبيق بعد املاء بياناتى الخاصة ولم تاتى الرسالة الى الان ,negative
